nom;reference;categorie;fournisseur;stock;seuil_alerte;prix_achat;prix_vente;tva;date_expiration;description
Métronidazole 250 mg comprimé;;;;;10; 5,90 ; 10,00 ;;;
Métronidazole 500 mg comprimé;;;;;10; 13,20 ; 20,00 ;;;
Métronidazole 500mg/100ml perfusion;;;;;10; 528,00 ; 650,00 ;;;
Miconazole pommade;;;;;10; 455,00 ; 1 000,00 ;;;
Misoprostol 200 mg comprimé;;;;;10; 660,00 ; 800,00 ;;;
Morphine 10mg/1ml injectable;;;;;10; 1 152,00 ; -   ;;;
Multi vitamine sirop;;;;;10; 660,00 ; 1 000,00 ;;;
Multi Vitamines comprimé;;;;;10; 13,00 ; 15,00 ;;;
Neomycine pommade;;;;;10; 385,59 ; 1 000,00 ;;;
Nicarpidine 10mg/10ml   injectable;;;;;10; 1 752,00 ; 2 050,00 ;;;
Noradrenaline 2mg/ml  8mg/4ml injectable;;;;;10; 1 980,00 ; -   ;;;
Nystatine 50 000 UI sirop  ML;;;;;10; 726,00 ; 900,00 ;;;
Nystatine 100 000 UI;;;;;10; 66,00 ; 80,00 ;;;
Nystatine 500 000 UI comprimé;;;;;10; 55,44 ; 65,00 ;;;
Oxytocine;;;;;10; -   ; -   ;;;
Oméprazole 20 mg capsule;;;;;10; 46,20 ; 100,00 ;;;
Oméprazole 40 mg injectable;;;;;10; 870,00 ; 1 500,00 ;;;
Paracétamol 1 G  perfusion;;;;;10; 900,00 ; 2 000,00 ;;;
Paracétamol 1 g comprimé effervescent (EFFERALGAN);;;;;10; 870,00 ; 1 100,00 ;;;
Paracétamol 120 mg sirop;;;;;10; 594,00 ; 700,00 ;;;
Paracétamol 125mg + Ibuprofene 100mg /5mL sirop;;;;;10; 700,00 ; 1 000,00 ;;;
Paracétamol 500 mg comprimé;;;;;10; 10,00 ; 10,00 ;;;
Phénobarbital 100 mg comprimé;;;;;10; 80,00 ; 80,00 ;;;
Phénobarbital 200 mg injectable;;;;;10; 1 000,00 ; 1 500,00 ;;;
Phloroglucinol 4 ml injectable;;;;;10; 400,00 ; 500,00 ;;;
Polyvidone 10% 125 ml PM;;;;;10; 1 386,00 ; 1 650,00 ;;;
Polyvidone rouge 125 ml;;;;;10; 1 500,00 ; -   ;;;
Polyvidone rouge 500 ml;;;;;10; 3 000,00 ; -   ;;;
Prednisolone 5 mg comprimé;;;;;10; 12,50 ; 15,00 ;;;
Propofol 10mg/ml injectable;;;;;10; 3 480,00 ; -   ;;;
Propofol 20mg/ml injectable;;;;;10; 8 760,00 ; -   ;;;
Quinine 300 mg comprimé;;;;;10; 65,00 ; 75,00 ;;;
Quinine 600 mg injectable;;;;;10; 200,00 ; 250,00 ;;;
Ranitidine 50mg/2 ml injectable;;;;;10; 235,00 ; 350,00 ;;;
Ringer lactate 500 ml;;;;;10; 672,00 ; 800,00 ;;;
Ringer lactate 1000 ml;;;;;10; 1 491,00 ; 1 600,00 ;;;
Salbutamol  spray aérosol;;;;;10; 1 716,00 ; 2 100,00 ;;;
Seringue 10cc;;;;;10; 56,76 ; 100,00 ;;;
Seringue à UU 2 ml;;;;;10; 39,13 ; 50,00 ;;;
Seringue à UU 5 ml;;;;;10; 37,16 ; 50,00 ;;;
Sodium chlorure 0.9 % 500 ml;;;;;10; 533,00 ; 800,00 ;;;
Speculium;;;;;10; 250,00 ; 450,00 ;;;
Sulfaméthoxazole + Triméthoprime 240mg/5ml sirop (Cotrimoxazole);;;;;10; 595,00 ; 700,00 ;;;
Sulfaméthoxazole + Triméthoprime 480 mg comprimé  (Cotrimoxazole);;;;;10; 12,00 ; 20,00 ;;;
Sulfate de magnésium injectable;;;;;10; 500,00 ; 800,00 ;;;
Tétracycline pommade;;;;;10; 310,00 ; 400,00 ;;;
Thiopental 1 g injectable;;;;;10; 4 036,00 ; -   ;;;
Trimetabol sirop;;;;;10; 2 600,00 ; 3 000,00 ;;;
Vitamine B complexe comprimé;;;;;10; 11,30 ; 15,00 ;;;
Vitamine B complexe injectable;;;;;10; 159,00 ; 175,00 ;;;
Vitamine K 1 injectable;;;;;10; 400,00 ; 150,00 ;;;
Zinc-Ora sachet;;;;;10; 561,00 ; 650,00 ;;;
Aiguille à ponction lombaire;;;;;10; 608,69 ; 700,00 ;;;
Aiguille épic N° 23;;;;;10; 48,00 ; 100,00 ;;;
Aiguille épic N° 25;;;;;10; 48,00 ; 100,00 ;;;
Bande  velpeau 4 x 10 cm;;;;;10; 264,00 ; 300,00 ;;;
Carnet de santé;;;;;10; 220,00 ; 250,00 ;;;
Catheter G 18;;;;;10; 224,40 ; 240,00 ;;;
Catheter G 20;;;;;10; 224,40 ; 240,00 ;;;
Catheter G22;;;;;10; 224,70 ; 300,00 ;;;
Cathéter G 24;;;;;10; 240,00 ; 350,00 ;;;
Compresse stérile 40 x 40cm;;;;;10; 79,20 ; 100,00 ;;;
Coton  500 g;;;;;10; 2 468,40 ; -   ;;;
Coton hydrophile;;;;;10; 70,00 ; 150,00 ;;;
Fil de suture Nylon 1.0;;;;;10; 1 000,00 ; 1 500,00 ;;;
Fil de suture Nylon 2;;;;;10; 1 000,00 ; 1 500,00 ;;;
Fil de suture Nylon 2.0;;;;;10; 1 000,00 ; 1 500,00 ;;;
Gants d’examen latex non stérile;;;;;10; 69,00 ; 100,00 ;;;
Lame de bistouri;;;;;10; 72,00 ; 100,00 ;;;
Perfuseur simple;;;;;10; 182,60 ; 300,00 ;;;
Poche à sang 250ml;;;;;10; 1 584,00 ; 1 850,00 ;;;
Poche à sang 450 ml;;;;;10; 2 046,00 ; 2 400,00 ;;;
Poche à urine;;;;;10; 396,00 ; 700,00 ;;;
Sonde de Foley N°20;;;;;10; 495,00 ; 1 000,00 ;;;
Sonde nasogastrique N° 10;;;;;10; 2 000,00 ; 3 000,00 ;;;
Sonde nasogastrique N° 12;;;;;10; 2 000,00 ; 3 000,00 ;;;
Sonde nasogastrique N° 14;;;;;10; 2 000,00 ; 3 000,00 ;;;
Sonde nasogastrique N° 16;;;;;10; 1 000,00 ; 3 000,00 ;;;
Sonde nasogastrique N° 18;;;;;10; 1 000,00 ; 3 000,00 ;;;
Sonde nasogastrique N° 5;;;;;10; 2 000,00 ; 3 000,00 ;;;
Sonde nasogastrique N° 6;;;;;10; 2 000,00 ; 3 000,00 ;;;
Sonde nasogastrique N° 8;;;;;10; 2 000,00 ; 3 000,00 ;;;
Sonde Urinaire N° 22 03 Voies;;;;;10; 2 000,00 ; 3 000,00 ;;;
Sonde Urinaire N°14;;;;;10; 495,00 ; 1 000,00 ;;;
Sonde Urinaire N°16;;;;;10; 561,00 ; 1 000,00 ;;;
Sonde Urinaire N°18;;;;;10; 561,00 ; 1 000,00 ;;;
Sonde Urinaire N°8;;;;;10; 2 000,00 ; 3 000,00 ;;;
Cytéal solution;;;;;10; 2 500,00 ; 250,00 ;;;
Thermomètre electrique;;;;;10; 1 300,00 ; 1 500,00 ;;;
Transfuseur;;;;;10; 330,00 ; 500,00 ;;;
Vicryl N° 0;;;;;10; 1 500,00 ; 2 500,00 ;;;
Vicryl N° 1;;;;;10; 1 500,00 ; 2 500,00 ;;;
Vicryl N° 2;;;;;10; 1 500,00 ; 2 500,00 ;;;
Vicryl N° 2 / 0;;;;;10; 1 500,00 ; 2 500,00 ;;;
Vicryl N°3 / 0;;;;;10; 1 500,00 ; 2 500,00 ;;;
Gants stériles T 7.5 et 8;;;;;10; 264,00 ; 300,00 ;;;
Acide urique;;;;;10; 35 000,00 ; -   ;;;
Acide sulfurique;;;;;10; 25 000,00 ; -   ;;;
Alat;;;;;10; 40 000,00 ; -   ;;;
Asat;;;;;10; 25 000,00 ; -   ;;;
Aslo;;;;;10; 25 000,00 ; -   ;;;
Bandelettes accu-chek B/50;;;;;10; 20 000,00 ; -   ;;;
Bandelettes one touch B/25;;;;;10; 6 250,00 ; -   ;;;
Bandelettes d'hemoglobine;;;;;10; 20 000,00 ; -   ;;;
Bleu de méthylène;;;;;10; 40 000,00 ; -   ;;;
Calcium;;;;;10; 40 000,00 ; -   ;;;
Chlamydiae;;;;;10; 40 000,00 ; -   ;;;
Cholesterol;;;;;10; 50 000,00 ; -   ;;;
Chlorures;;;;;10; 50 000,00 ; -   ;;;
Combi test 3;;;;;10; 8 000,00 ; -   ;;;
Combi test 11;;;;;10; 15 000,00 ; -   ;;;
Creatinine;;;;;10; 35 000,00 ; -   ;;;
CRP tests;;;;;10; 25 000,00 ; -   ;;;
DBS;;;;;10; -   ; -   ;;;
Detergent urit;;;;;10; 55 000,00 ; -   ;;;
Determine B/100;;;;;10; 450,00 ; 1 000,00 ;;;
Diluent;;;;;10; 55 000,00 ; -   ;;;
Ecouvillon;;;;;10; 8 000,00 ; -   ;;;
Electrophorèse Hb;;;;;10; 350 000,00 ; -   ;;;
Embouts bleus;;;;;10; 8 000,00 ; -   ;;;
Embouts jaunes;;;;;10; 8 000,00 ; -   ;;;
Fuschine litre;;;;;10; 40 000,00 ; -   ;;;
G-test;;;;;10; 1 250,00 ; -   ;;;
Giemsa rapide 0,5 litre;;;;;10; 20 000,00 ; -   ;;;
Giemsa rapide 1 litre;;;;;10; 40 000,00 ; -   ;;;
Glucose;;;;;10; 40 000,00 ; -   ;;;
HBS Cassettes;;;;;10; 40 000,00 ; -   ;;;
HcV Cassettes;;;;;10; 40 000,00 ; -   ;;;
HDL Cholesterol;;;;;10; 50 000,00 ; -   ;;;
H Pylori B/50 Bandelettes;;;;;10; 40 000,00 ; -   ;;;
Hémoglobine glyquée;;;;;10; 150 000,00 ; -   ;;;
Huile à immersion;;;;;10; 20 000,00 ; -   ;;;
Lame porte objets;;;;;10; 3 000,00 ; -   ;;;
Lugol 500 ml ou 1 litre;;;;;10; 18 000,00 ; -   ;;;
Lyse pour cell dyn 1800;;;;;10; 90 000,00 ; -   ;;;
Magnesium;;;;;10; 40 000,00 ; -   ;;;
Oraquick hiv 1/2;;;;;10; -   ; -   ;;;
Potassium;;;;;10; 50 000,00 ; -   ;;;
Probe cleaner;;;;;10; 25 000,00 ; -   ;;;
PSA;;;;;10; 50 000,00 ; -   ;;;
Rubéole Bandelettes;;;;;10; 40 000,00 ; -   ;;;
Sodium;;;;;10; 50 000,00 ; -   ;;;
Speculum;;;;;10; 300,00 ; 750,00 ;;;
Test de groupage sanguin;;;;;10; 20 000,00 ; -   ;;;
TDR;;;;;10; -   ; -   ;;;
Toxoplasmose;;;;;10; 50 000,00 ; -   ;;;
TPHA Cassettes;;;;;10; 50 000,00 ; -   ;;;
Triglyceride;;;;;10; 40 000,00 ; -   ;;;
Tubes à hémolyse;;;;;10; 35 000,00 ; -   ;;;
Tubes EDTA;;;;;10; 8 000,00 ; -   ;;;
Tubes héparinés;;;;;10; 12 000,00 ; -   ;;;
Tubes secs;;;;;10; 8 000,00 ; -   ;;;
Urée sanguine;;;;;10; 35 000,00 ; -   ;;;
Violet de gentiane;;;;;10; 40 000,00 ; -   ;;;
Widal;;;;;10; 25 000,00 ; -   ;;;
Film radio 24 x 30;;;;;10; 39 604,00 ; -   ;;;
Film radio 30 x 40;;;;;10; 54 455,00 ; -   ;;;
Film radio 35 x 35;;;;;10; 69 307,00 ; -   ;;;
Film radio 35 x 43;;;;;10; 74 257,00 ; -   ;;;
Revélateur;;;;;10; 41 580,00 ; -   ;;;
Fixateur;;;;;10; 24 948,00 ; -   ;;;
Gel échographique;;;;;10; 18 000,00 ; -   ;;;
Papier échographie;;;;;10; 18 000,00 ; -   ;;;
Papier filtre paquet/100;;;;;10; -   ; -   ;;;
Paper Towelt paquet/4500;;;;;10; -   ; -   ;;;
Pots à selle;;;;;10; 140,00 ; -   ;;;
Pots à urine;;;;;10; 180,00 ; -   ;;;
Crachoirs;;;;;10; -   ; -   ;;;
Gene expert HIV;;;;;10; -   ; -   ;;;
Rx Crâne F/P;;;;;10; -   ; 7 500,00 ;;;
Rx Crane (Sinus);;;;;10; -   ; 5 000,00 ;;;
Rx Thorax Face;;;;;10; -   ; 5 000,00 ;;;
Rx Thorax Osseux (Grill costal);;;;;10; -   ; 7 500,00 ;;;
Rx Thorax F/P;;;;;10; -   ; 7 500,00 ;;;
Rx Rachis Cervical F/P;;;;;10; -   ; 8 000,00 ;;;
Rx Rachis Cervical F/P + ¾;;;;;10; -   ; 10 000,00 ;;;
Rx Rachis Cervico-Dorsal F/P;;;;;10; -   ; 12 000,00 ;;;
Rx Rachis Dorsal F/P;;;;;10; -   ; 8 000,00 ;;;
Rx Rachis Dorso-lombaire F/P;;;;;10; -   ; 12 000,00 ;;;
Rx Rachis Lombaire F/P;;;;;10; -   ; 8 000,00 ;;;
Rx Rachis Lombaire F/P + ¾;;;;;10; -   ; 10 000,00 ;;;
Rx Rachis Lombo–sacrée F/P;;;;;10; -   ; 8 000,00 ;;;
Rx Rachis Lombaire (De Seze + Profil);;;;;10; -   ; 12 000,00 ;;;
Rx Asp Debout;;;;;10; -   ; 5 000,00 ;;;
Rx Asp Couché;;;;;10; -   ; 5 000,00 ;;;
Rx Epaule (03 rotations);;;;;10; -   ; 9 000,00 ;;;
Rx Clavicule F/P;;;;;10; -   ; 7 500,00 ;;;
Rx Bras (Humérus) F/P;;;;;10; -   ; 7 500,00 ;;;
Rx Coude F/P;;;;;10; -   ; 7 500,00 ;;;
Rx Avant-bras F/P;;;;;10; -   ; 7 500,00 ;;;
Rx Poignet F/P;;;;;10; -   ; 7 500,00 ;;;
Rx Main / doigts F/P;;;;;10; -   ; 7 500,00 ;;;
Rx Membre Supérieur 2 Segments F/P;;;;;10; -   ; 12 000,00 ;;;
Rx Membre inférieur 2 Segments F/P;;;;;10; -   ; 12 000,00 ;;;
Rx Cuisse (Fémur) F/P;;;;;10; -   ; 7 500,00 ;;;
Rx Genou F/P;;;;;10; -   ; 7 500,00 ;;;
Rx Genou F/P et Axial 30°/60°;;;;;10; -   ; 9 000,00 ;;;
Rx Jambe (Tibia) F/P;;;;;10; -   ; 7 500,00 ;;;
Rx Cheville F/P;;;;;10; -   ; 7 500,00 ;;;
Rx Pied Face et Oblique;;;;;10; -   ; 7 500,00 ;;;
Rx Pied F/P et Oblique;;;;;10; -   ; 8 500,00 ;;;
Rx Membre Inferieur Télémétrie;;;;;10; -   ; -   ;;;
Rx Bassin;;;;;10; -   ; 7 000,00 ;;;
Rx Bassin + Hanche;;;;;10; -   ; 9 000,00 ;;;
Rx Pelvimétrie;;;;;10; -   ; -   ;;;
Rx Télérachis + Mesure;;;;;10; -   ; -   ;;;
Rx Paudométrie;;;;;10; -   ; -   ;;;
Galactographie;;;;;10; -   ; -   ;;;
Hystérosalpingographie (HSG);;;;;10; -   ; 18 000,00 ;;;
Urographie Intra Veineuse (UIV);;;;;10; -   ; 15 000,00 ;;;
Urétro-Cystographie Rétrograde et Mictionnelle;;;;;10; -   ; 15 000,00 ;;;
Sialographie;;;;;10; -   ; -   ;;;
Fistulographie;;;;;10; -   ; -   ;;;
Transit Oeso Gastro Duodenal (TOGD);;;;;10; -   ; 20 000,00 ;;;
Transit Œsophagien;;;;;10; -   ; 15 000,00 ;;;
Transit Du Grèle;;;;;10; -   ; 20 000,00 ;;;
Lavement opaque aux Hydrosolubles;;;;;10; -   ; 18 000,00 ;;;
Lavement Baryté Mono Contraste;;;;;10; -   ; 18 000,00 ;;;
Saccoradiculographie;;;;;10; -   ; -   ;;;
Arthrographie Opaque;;;;;10; -   ; -   ;;;
Echographie pelvienne;;;;;10; -   ; 6 000,00 ;;;
Echographie Pelvienne Endovaginale;;;;;10; -   ; 7 500,00 ;;;
Echographie Obstétricale;;;;;10; -   ; 6 000,00 ;;;
Echographie Abdominale;;;;;10; -   ; 6 000,00 ;;;
Echographie Abdomino-Pelvienne;;;;;10; -   ; 9 000,00 ;;;
Echographie Prostatique;;;;;10; -   ; 8 000,00 ;;;
Echographie Testiculaire;;;;;10; -   ; 10 000,00 ;;;
Echographie Réno-vésicale (voies urinaires);;;;;10; -   ; 8 000,00 ;;;
Echographie Thyroïde;;;;;10; -   ; 10 000,00 ;;;
Echographie Oculaire;;;;;10; -   ; -   ;;;
Echographie Mammaire;;;;;10; -   ; 10 000,00 ;;;
Echographie Partie Molles;;;;;10; -   ; 10 000,00 ;;;
Echographie Transfontanellaire;;;;;10; -   ; -   ;;;
Echographie Articulaire;;;;;10; -   ; 12 000,00 ;;;
Hystérosonographie (HSN);;;;;10; -   ; -   ;;;
Echographie Doppler Vaisseaux du cou;;;;;10; -   ; -   ;;;
Echographie Doppler Veineux MI;;;;;10; -   ; -   ;;;
Echographie Doppler Veineux MS;;;;;10; -   ; -   ;;;
Echographie Doppler Artérielle MI;;;;;10; -   ; -   ;;;
Echographie Doppler Artérielle MS;;;;;10; -   ; -   ;;;
Echographie Doppler Veineux et Artérielle MI;;;;;10; -   ; -   ;;;
Echographie Doppler Veineux et Artérielle MS;;;;;10; -   ; -   ;;;
Echographie Vaisseaux abdominaux;;;;;10; -   ; -   ;;;
Echographie Vaisseaux testiculaires;;;;;10; -   ; -   ;;;
Echographie Cordon Ombilical du fÔtus;;;;;10; -   ; -   ;;;
Echographie Morphologie foetale;;;;;10; -   ; -   ;;;
Echographie Profil biophysiologique foetal;;;;;10; -   ; -   ;;;
Echographie cardiaque;;;;;10; -   ; -   ;;;
ECG;;;;;10; -   ; 7 000,00 ;;;
Scanner TAP;;;;;10; -   ; 100 000,00 ;;;
Scanner thoracique avec injection du PDC;;;;;10; -   ; 80 000,00 ;;;
Scanner rachis cervical;;;;;10; -   ; 60 000,00 ;;;
Scanner rachis dorsal;;;;;10; -   ; 60 000,00 ;;;
Scanner rachis lombaire;;;;;10; -   ; 60 000,00 ;;;
Scanner rachis cervico-dorsal;;;;;10; -   ; 80 000,00 ;;;
Scanner rachis dorso-lombaire;;;;;10; -   ; 80 000,00 ;;;
Scanner rachis complet;;;;;10; -   ; 90 000,00 ;;;
Scanner cérébral sans injection du PDC;;;;;10; -   ; 60 000,00 ;;;
Scanner cérébral avec injection du PDC;;;;;10; -   ; 80 000,00 ;;;
Pelvis scanner;;;;;10; -   ; 60 000,00 ;;;
Uroscanner;;;;;10; -   ; 80 000,00 ;;;
Poche de sang;;;;;10; -   ; 15 000,00 ;;;
Accouchement simple (chèque santé);;;;;10; -   ; 6 000,00 ;;;
Acouchement par césarienne (chèque santé);;;;;10; -   ; 40 000,00 ;;;
Consultation généraliste;;;;;10; -   ; 1 000,00 ;;;
Consultation chirurgienne;;;;;10; -   ; 2 000,00 ;;;
Consultation dentiste;;;;;10; -   ; 2 000,00 ;;;
Consultation Gynécologique ;;;;;10; -   ; 2 000,00 ;;;
Consultation Santé mantale;;;;;10; -   ; 2 000,00 ;;;
Hospitalisation salle commune/Jour;;;;;10; -   ; 200,00 ;;;
Hospitalisation Box / Jour;;;;;10; -   ; 500,00 ;;;
Hospitalisation cabine;;;;;10; -   ; 2 000,00 ;;;
Hosptalisation réanimation;;;;;10; -   ; 1 000,00 ;;;
Hospitalisation salle d'observation;;;;;10; -   ; -   ;;;
Morgue / frais par jour;;;;;10; -   ; 5 000,00 ;;;
Soin infirmier;;;;;10; -   ; 500,00 ;;;
Petit calcul vésical ;;;;;10; -   ; 90 000,00 ;;;
Gros calcul;;;;;10; -   ; 120 000,00 ;;;
Drain thoracique ;;;;;10; -   ; 70 000,00 ;;;
Parage ;;;;;10; -   ; 70 000,00 ;;;
Appendicite ;;;;;10; -   ; 120 000,00 ;;;
Hernie;;;;;10; -   ; 120 000,00 ;;;
Laparotomie;;;;;10; -   ; 180 000,00 ;;;
Myomectomie;;;;;10; -   ; 150 000,00 ;;;
Poly myomectomie;;;;;10; -   ; 180 000,00 ;;;
Hystérectomie subtotal;;;;;10; -   ; 180 000,00 ;;;
"Hystérectomie total;";;;;;10; -   ; 200 000,00 ;;;
Lombotomie;;;;;10; -   ; 200 000,00 ;;;
Néphrectomie;;;;;10; -   ; 200 000,00 ;;;
Kystectomie;;;;;10; -   ; 90 000,00 ;;;
Polykystectomie;;;;;10; -   ; 150 000,00 ;;;
Thyroïdectomie simple;;;;;10; -   ; 180 000,00 ;;;
Thyroïdectomie complexe;;;;;10; -   ; 250 000,00 ;;;
Ostéosynthèse fémur;;;;;10; -   ; 450 000,00 ;;;
Ostéosynthèse tibia et péroné;;;;;10; -   ; 350 000,00 ;;;
Ostéosynthèse avant-bras;;;;;10; -   ; 250 000,00 ;;;
Ostéosynthèse bras;;;;;10; -   ; 350 000,00 ;;;
Ostéosynthèse clavicule;;;;;10; -   ; 180 000,00 ;;;
GEU non rompue;;;;;10; -   ; 120 000,00 ;;;
Prostatectomie;;;;;10; -   ; 250 000,00 ;;;
Colostomie;;;;;10; -   ; 180 000,00 ;;;
Recto cystocèle;;;;;10; -   ; 150 000,00 ;;;
Hydrocèle;;;;;10; -   ; 120 000,00 ;;;
Prolapsus utérin;;;;;10; -   ; 150 000,00 ;;;
Amputation membre supérieur;;;;;10; -   ; 120 000,00 ;;;
Amputation membre inferieur;;;;;10; -   ; 150 000,00 ;;;
Césarienne;;;;;10; -   ; 40 000,00 ;;;
Débridement;;;;;10; -   ; 70 000,00 ;;;
Circoncision;;;;;10; -   ; 10 000,00 ;;;
Petite lipome;;;;;10; -   ; 50 000,00 ;;;
