nom;reference;categorie;fournisseur;stock;seuil_alerte;prix_achat;prix_vente;tva;date_expiration;description
Grande lipome;;;;;10; -   ; 70 000,00 ;;;
Mastectomie;;;;;10; -   ; 120 000,00 ;;;
Saucerisation;;;;;10; -   ; 130 000,00 ;;;
Trépanation;;;;;10; -   ; 150 000,00 ;;;
Lever d’embarrure;;;;;10; -   ; 180 000,00 ;;;
Amos;;;;;10; -   ; 120 000,00 ;;;
Extraction dent de lait;;;;;10; -   ; 5 000,00 ;;;
Extraction dent permanante;;;;;10; -   ; 7 000,00 ;;;
Extraction dent enclavée;;;;;10; -   ; 10 000,00 ;;;
Extraction multiple (première dent);;;;;10; -   ; 6 000,00 ;;;
Extraction multiple (dents suivantes);;;;;10; -   ; 10 000,00 ;;;
Extraction chirurgicale;;;;;10; -   ; 15 000,00 ;;;
Freinectomie te freinotomie;;;;;10; -   ; 5 500,00 ;;;
Incision et drainage cellulite;;;;;10; -   ; 10 000,00 ;;;
Regularisation crêtes/curetage poche;;;;;10; -   ; 6 000,00 ;;;
Exerese capuchon muqueux;;;;;10; -   ; 5 000,00 ;;;
Exerese épulis;;;;;10; -   ; 15 000,00 ;;;
Detartage simple;;;;;10; -   ; 6 000,00 ;;;
Detartage complexe;;;;;10; -   ; 10 000,00 ;;;
Reinplantation;;;;;10; -   ; 20 000,00 ;;;
Luxation ATM;;;;;10; -   ; 10 000,00 ;;;
Ligature metallique dent mobile;;;;;10; -   ; 11 000,00 ;;;
Artele métallique avec composite;;;;;10; -   ; 17 000,00 ;;;
Alveolo-dentaire;;;;;10; -   ; 10 000,00 ;;;
Os maxillaire sans deplacement;;;;;10; -   ; 20 000,00 ;;;
Os maxillaire avec deplacement;;;;;10; -   ; 35 000,00 ;;;
Mandibule unifocale;;;;;10; -   ; 40 000,00 ;;;
Blocage bi-maxillaire;;;;;10; -   ; 60 000,00 ;;;
Devitalisation  dent mono-radiculaire;;;;;10; -   ; 10 000,00 ;;;
Devitalisation dent pluri radiculaire;;;;;10; -   ; 20 000,00 ;;;
Obturation simple à l'eugemate;;;;;10; -   ; 6 000,00 ;;;
Obturation  à l'amaigame;;;;;10; -   ; 9 000,00 ;;;
Reconstitution complexe à l'amalgame;;;;;10; -   ; 12 000,00 ;;;
Composite simple;;;;;10; -   ; 10 000,00 ;;;
Composite sur cavité composée;;;;;10; -   ; 15 000,00 ;;;
CVI sur dent de lait;;;;;10; -   ; 5 000,00 ;;;
CVI sur dent permanente;;;;;10; -   ; 8 000,00 ;;;
Adjointe une dent;;;;;10; -   ; 25 000,00 ;;;
Adjointe pour toute dent suivante;;;;;10; -   ; 10 000,00 ;;;
Rx retro alvélaire;;;;;10; -   ; 5 000,00 ;;;
Rx panaromique;;;;;10; -   ; 15 000,00 ;;;
NFS/Exem;;;;;10; -   ; 4 000,00 ;;;
CRP;;;;;10; -   ; 2 000,00 ;;;
TRANSFUSION SANGUINE;;;;;10; -   ; 15 000,00 ;;;
TRANSFUSION SANGUINE;;;;;10; -   ; 27 400,00 ;;;
CREATINEMIE/Exem;;;;;10; -   ; 2 500,00 ;;;
UREE SANGUINE/Exem;;;;;10; -   ; 2 000,00 ;;;
ASAT/Exem;;;;;10; -   ; 2 500,00 ;;;
ALAT/Exem;;;;;10; -   ; 2 500,00 ;;;
CHOLESTEROL/Exem;;;;;10; -   ; 2 500,00 ;;;
ACIDE URIQUE/Exem;;;;;10; -   ; 2 500,00 ;;;
GAMMA G.T/Exem;;;;;10; -   ; 2 100,00 ;;;
CHLAMIDIA/Exem;;;;;10; -   ; 6 000,00 ;;;
AgHBS/Exem ;;;;;10; -   ; 3 000,00 ;;;
AcHVC;;;;;10; -   ; 3 000,00 ;;;
ASLO/Exem;;;;;10; -   ; 3 000,00 ;;;
TAUX D’HEMOGLOBINE/Exem;;;;;10; -   ; 1 500,00 ;;;
CALCEMIE/URECEMIE/Exem;;;;;10; -   ; 3 000,00 ;;;
GLYCEMIE A JEUN/Exem;;;;;10; -   ; 2 000,00 ;;;
VDRL/Exem;;;;;10; -   ; 1 500,00 ;;;
TPHA/Exem;;;;;10; -   ; 2 500,00 ;;;
BW/Exem ;;;;;10; -   ; 1 500,00 ;;;
BILIRUBINE/Exem;;;;;10; -   ; 2 000,00 ;;;
AMYLASEMIE/Exem;;;;;10; -   ; 2 500,00 ;;;
WIDAL/Exem ;;;;;10; -   ; 3 000,00 ;;;
CRACHAT/Exem ;;;;;10; -   ; 1 000,00 ;;;
SODIUM (NA)/Exem ;;;;;10; -   ; 2 000,00 ;;;
POTASSIUM (K)/Exem ;;;;;10; -   ; 2 000,00 ;;;
CHLORE (CL)/Exem ;;;;;10; -   ; 2 000,00 ;;;
MAGNESIURIE (MG)/Exem;;;;;10; -   ; 2 000,00 ;;;
MICRO FILAIRE (RMF)/Exem ;;;;;10; -   ; 1 500,00 ;;;
TEST D’EMMEL/Exem;;;;;10; -   ; 2 000,00 ;;;
TS (temps de saignement)/Exem;;;;;10; -   ; 1 500,00 ;;;
CULOT URNAIRE (CU)/Exem;;;;;10; -   ; 1 500,00 ;;;
CHOLESTEROL TOTAL/BILAN LIPIDIQUE/Exem;;;;;10; -   ; 6 800,00 ;;;
BANDELETTES URINAIRES/Exem;;;;;10; 2 500,00 ; 2 500,00 ;;;
PSA/Exem;;;;;10; -   ; 8 000,00 ;;;
PONCTION PLEURALE/Exem;;;;;10; -   ; 2 000,00 ;;;
ECBU/Exem;;;;;10; -   ; 2 000,00 ;;;
LCR PL/Exem;;;;;10; -   ; 2 000,00 ;;;
PU/Exem;;;;;10; -   ; 2 000,00 ;;;
PCV/Exem;;;;;10; -   ; 2 000,00 ;;;
GE;;;;;10; -   ; 1 500,00 ;;;
GS RH/Exem;;;;;10; -   ; 2 000,00 ;;;
SELLES/Exem;;;;;10; -   ; 1 200,00 ;;;
SPERMOGRAMME/Exem;;;;;10; -   ; 3 500,00 ;;;
CD4/Exem;;;;;10; -   ; 8 500,00 ;;;
GS/RHESUS/Exem;;;;;10; -   ; 2 000,00 ;;;
HIV/Exem;;;;;10; -   ; 1 000,00 ;;;
GLUCOSURIE/Exem;;;;;10; -   ; 1 000,00 ;;;
PROTEINURIE/Exem;;;;;10; -   ; 1 000,00 ;;;
VS/Exem;;;;;10; -   ; 1 500,00 ;;;
IONOGRAMME/Exem;;;;;10; -   ; 8 900,00 ;;;
SKIN TEST/Exem;;;;;10; -   ; 1 500,00 ;;;
ALBUMINE/Exem;;;;;10; -   ; 500,00 ;;;
SUCRE/Exem;;;;;10; -   ; 500,00 ;;;
ACITONIE/Exem;;;;;10; -   ; 1 000,00 ;;;
TRIGLYCERIDE/Exem;;;;;10; -   ; 2 000,00 ;;;
TEST D’EMMEL/Exem;;;;;10; -   ; 2 000,00 ;;;
RIVALTA/Exem;;;;;10; -   ; 2 000,00 ;;;
HEPATITE B et C/Exem;;;;;10; -   ; 6 000,00 ;;;
LIQUIDE DE PONCTION/Exem;;;;;10; -   ; 2 000,00 ;;;
PTME/Exem;;;;;10; -   ; -   ;;;
Hydralazine (APRESOLINE) inj;;;;;10; 1 000,00 ; 1 500,00 ;;;
Ofloxacine cp;;;;;10; 3 500,00 ; 4 500,00 ;;;
Cefotaxime 1g inj;;;;;10; 1 000,00 ; 3 500,00 ;;;
Glycemie controle;;;;;10; -   ; 1 000,00 ;;;
TDR examen;;;;;10; -   ; 200,00 ;;;
G test;;;;;10; -   ; 1 500,00 ;;;
H pylori;;;;;10; -   ; 2 500,00 ;;;
Toxo plasmos;;;;;10; -   ; 5 000,00 ;;;
Sparadra perforé;;;;;10; 183,33 ; 250,00 ;;;
Acte petit chirurgie;;;;;10; -   ; 3 000,00 ;;;
Acte accouchement;;;;;10; -   ; 3 000,00 ;;;
Acte chirurgical;;;;;10; -   ; 500,00 ;;;
Temps de coagulation;;;;;10; -   ; 1 500,00 ;;;
Lipomectomie;;;;;10; -   ; 50 000,00 ;;;
Amiu;;;;;10; -   ; 5 000,00 ;;;
Coton rouleau;;;;;10; 2 772,00 ; -   ;;;
Acte pansement;;;;;10; -   ; 500,00 ;;;
Sav;;;;;10; 17 000,00 ; 25 000,00 ;;;
Consultation ophtalmologie;;;;;10; -   ; 300,00 ;;;
Anafranil 25 mg cp;;;;;10; 3 500,00 ; 4 625,00 ;;;
Consultation Agé apparent;;;;;10; -   ; 900,00 ;;;
Electrophorèse Hb;;;;;10; -   ; 6 000,00 ;;;
Poche de colostomie;;;;;10; 500,00 ; 1 000,00 ;;;
CRACHAT/Exem / Gratuit;;;;;10; -   ; -   ;;;
Microfilaire;;;;;10; -   ; 1 500,00 ;;;
Fil de suture nylon 1;;;;;10; 417,00 ; 1 500,00 ;;;
Bulletin Visite Médicale;;;;;10; -   ; 4 100,00 ;;;
Seance kinetherapie;;;;;10; -   ; 3 550,00 ;;;
Hemoglobine glyquée;;;;;10; 1 100 000,00 ; -   ;;;
Consultation ORL;;;;;10; -   ; 5 000,00 ;;;
Prolapsus anal;;;;;10; -   ; 90 000,00 ;;;
Seringue 0.5 cc;;;;;10; 25,00 ; 50,00 ;;;
Seringue 1 cc;;;;;10; 25,00 ; 50,00 ;;;
Vecuronium 4 mg ;;;;;10; 7 000,00 ; 7 500,00 ;;;
DIU;;;;;10; 600,00 ; 1 000,00 ;;;
Sayana Press;;;;;10; 200,00 ; 255,00 ;;;
Cystostomie;;;;;10; -   ; 120 000,00 ;;;
Cetafor 1G inj IV;;;;;10; 2 400,00 ; 3 000,00 ;;;
Fiche de stock;;;;;10; 72,00 ; -   ;;;
EMBROCHAGE;;;;;10; -   ; 90 000,00 ;;;
Banque de sang;;;;;10; -   ; 27 400,00 ;;;
URETROPLASTIE;;;;;10; -   ; 150 000,00 ;;;
Plastron appendiculaire;;;;;10; -   ; 140 000,00 ;;;
Paraplegie;;;;;10; -   ; 3 500,00 ;;;
Monoplegie;;;;;10; -   ; 1 500,00 ;;;
Hemiplegie;;;;;10; -   ; 2 500,00 ;;;
Lombalgie;;;;;10; -   ; 2 000,00 ;;;
Lombociatalgie;;;;;10; -   ; 3 000,00 ;;;
IMC Tetraplegie;;;;;10; -   ; 2 000,00 ;;;
IMC Paraplegie;;;;;10; -   ; 1 500,00 ;;;
Faiblesse Musculaire;;;;;10; -   ; 2 000,00 ;;;
Raideur Musculaire;;;;;10; -   ; 2 000,00 ;;;
Cervicalgie;;;;;10; -   ; 1 000,00 ;;;
TDM Abdominal sans injection;;;;;10; -   ; 60 000,00 ;;;
TDM ABDOMINAL AVEC INJECTION;;;;;10; -   ; 80 000,00 ;;;
Debridement Simple;;;;;10; -   ; 70 000,00 ;;;
Debridement complexe;;;;;10; -   ; 150 000,00 ;;;
KOP;;;;;10; -   ; 150 000,00 ;;;
Drainage abces anal;;;;;10; -   ; 150 000,00 ;;;
Operation cataracte;;;;;10; -   ; 70 000,00 ;;;
AMIU;;;;;10; -   ; 5 000,00 ;;;
Lidocaine 10ml;;;;;10; -   ; 500,00 ;;;
Aspirine 300 mg comprimé;;;;;10; -   ; 20,00 ;;;
Loxen ( chlorhydrate de nicardipine ) 10mg/10mL;;;;;10; -   ; 1 200,00 ;;;
Analgin 500mL injectable;;;;;10; 150,00 ; 300,00 ;;;
Bicarbonate de sodium 0.84/10ml  injectable;;;;;10; -   ; 300,00 ;;;
BecloAsma aerosol;;;;;10; -   ; 2 100,00 ;;;
VDRL ;;;;;10; 20 000,00 ; -   ;;;
Bisoprolol 2.5mg comprimé;;;;;10; -   ; 1 000,00 ;;;
Catheter de la portion lombaire;;;;;10; -   ; 250,00 ;;;
Aspirine 300mg comprimé;;;;;10; -   ; 70,00 ;;;
Enalapril comprimé;;;;;10; -   ; 150,00 ;;;
Labetalol 5 mg/ml injectable;;;;;10; -   ; -   ;;;
Levonorgestrel 1.5 mg comprimé;;;;;10; -   ; 1 000,00 ;;;
Klipal( Paracetamol 600mg + Codeine 50mg ) comprime;;;;;10; 1 575,00 ; 1 850,00 ;;;
Tardyferon ( Sulfate ferreux ) 80mg comprime;;;;;10; 1 950,00 ; 2 500,00 ;;;
Tardyferon ( Sulfate ferreux heptahydraté ) 20mg/mL sirop;;;;;10; 3 800,00 ; 4 400,00 ;;;
Cefoken ( Céfixime 200mg ) Boite de 16 gellule;;;;;10; 5 250,00 ; 6 000,00 ;;;
Cefoken ( Céfixime 100mg/5mL ) sirop;;;;;10; 4 000,00 ; 4 500,00 ;;;
Alcool 95° 1L;;;;;10; 2 112,00 ; -   ;;;
Aiguille vaccutanaire;;;;;10; 6 000,00 ; -   ;;;
Dinitrate d'isosorbide 5mg comprimé;;;;;10; -   ; 15,00 ;;;
Hemmoglobine glyque;;;;;10; -   ; 7 000,00 ;;;
Lamelle B/1000;;;;;10; -   ; -   ;;;
Dinitrate d'isosorbide 10mg injectable;;;;;10; -   ; 150,00 ;;;
LAVAGE GASTRIQUE;;;;;10; -   ; 20 000,00 ;;;
Amoxicilline 125mg/5ml sirop;;;;;10; 800,00 ; 950,00 ;;;
Amoxicilline 250mg comprime;;;;;10; 15,00 ; 20,00 ;;;
Norlevo;;;;;10; -   ; 1 000,00 ;;;
Amlodipine 5 mg comprimé;;;;;10; 100,00 ; 150,00 ;;;
Benzylpenicilline 1 MUI injectable;;;;;10; 150,00 ; 250,00 ;;;
Clotrimazole 500 mg ovule;;;;;10; 1 000,00 ; 1 500,00 ;;;
Gentamycine 40 mg injectable;;;;;10; 50,00 ; 50,00 ;;;
Glucose 500 mg/ml 50 ml ;;;;;10; 700,00 ; 1 000,00 ;;;
Hydrochlorothiazide 25 mg comprimé;;;;;10; 50,00 ; 100,00 ;;;
Hydrocortisone 100 mg injectable;;;;;10; 150,00 ; 200,00 ;;;
Furozémide 40 mg comprimé;;;;;10; 8,00 ; 10,00 ;;;
Sulfadiazine pommade;;;;;10; 700,00 ; 1 000,00 ;;;
Méthyldopa 250 mg comprimé;;;;;10; 50,00 ; 50,00 ;;;
Lidocaine 1% 20 ml;;;;;10; 700,00 ; 1 000,00 ;;;
Bande a gaze 15 M;;;;;10; 350,00 ; 500,00 ;;;
Bandelette sinocare B50;;;;;10; -   ; -   ;;;
CPN;;;;;10; -   ; 500,00 ;;;
Echographie cardiaque;;;;;10; -   ; 15 000,00 ;;;
Primalan 5mg comprime;;;;;10; 1 980,00 ; 2 300,00 ;;;
Primalan 60mL sirop;;;;;10; 1 450,00 ; 1 700,00 ;;;
Coton paquet;;;;;10; 400,00 ; 500,00 ;;;
Aclav 500mg/62.5mg sachet;;;;;10; 3 300,00 ; 3 900,00 ;;;
Kaliemie;;;;;10; -   ; 2 000,00 ;;;
CHIRURGIE OPHTALMOLOGIQUE;;;;;10; -   ; 1 000,00 ;;;
Phloroglucinol 80mg comprime;;;;;10; 59,40 ; 75,00 ;;;
Travail dirigé;;;;;10; -   ; 3 000,00 ;;;
Dechirure Perinée;;;;;10; -   ; 3 000,00 ;;;
Dechirure col de l'uterus;;;;;10; -   ; 3 000,00 ;;;
Episiotomie;;;;;10; -   ; 2 000,00 ;;;
HEMORAGIE_DU_POST_;;;;;10; -   ; 3 000,00 ;;;
Accouchement instrument;;;;;10; -   ; 5 000,00 ;;;
Abces mamaire;;;;;10; -   ; 5 000,00 ;;;
Pre clampsie;;;;;10; -   ; 3 000,00 ;;;
Sonde urinaire;;;;;10; -   ; 1 000,00 ;;;
Endometrite severe;;;;;10; -   ; 3 000,00 ;;;
Consultation cardiologie;;;;;10; -   ; 5 000,00 ;;;
Serologie Rubeole IgG-IgM;;;;;10; -   ; 5 000,00 ;;;
First response HIV 1-2;;;;;10; -   ; -   ;;;
Echographie thyroidienne ;;;;;10; -   ; -   ;;;
One step anti HIV 1-2;;;;;10; -   ; -   ;;;
Vaccin anti rabique;;;;;10; -   ; -   ;;;
Echographie vaisseaux ;;;;;10; -   ; -   ;;;
Artesunate 30mgmL injectable;;;;;10; -   ; -   ;;;
Oxygenotherapie;;;;;10; -   ; -   ;;;
Oxygenotherapie bloc;;;;;10; -   ; -   ;;;
Hydroxyde d'aluminium comprime;;;;;10; -   ; -   ;;;
